20.04.2023;13:49:14:000;13:50:54:0000;Indoor;50;sunny;N/A;N/A
0;2871833;44
1;2873142;61
2;2856525;66
3;2831247;78
4;2792574;78
5;2736580;97
6;2649567;125
7;2505552;164
8;2236859;228
9;1498356;320
10;46427;381
11;22659;359
12;12387;374
13;6747;360
14;3121;380
15;1409;373
16;503;369
17;201;378
18;201;358
19;201;372
20;201;393
21;201;369
22;201;380
23;201;373
24;201;380
25;201;367
26;201;390
27;201;385
28;201;385
29;201;384
30;201;386
31;201;376
32;201;387
33;201;385
34;201;370
35;302;374
36;201;386
37;201;381
38;302;383
39;201;376
0;2871430;47
1;2873142;61
2;2857129;58
3;2831348;78
4;2791668;89
5;2736177;118
6;2649365;121
7;2504344;180
8;2236456;238
9;1496342;330
10;47534;375
11;22961;385
12;12185;389
13;6848;379
14;3121;381
15;1409;375
16;604;391
17;302;389
18;302;360
19;201;371
20;201;356
21;201;372
22;201;365
23;201;387
24;201;370
25;201;387
26;201;367
27;201;376
28;201;375
29;201;379
30;201;375
31;201;373
32;201;385
33;201;382
34;201;382
35;201;390
36;302;375
37;201;367
38;302;389
39;201;383
0;2871531;56
1;2873444;51
2;2856324;77
3;2831045;80
4;2792675;95
5;2736681;119
6;2649768;110
7;2504142;163
8;2235248;252
9;1499867;338
10;46729;376
11;22861;366
12;12790;383
13;6445;359
14;3323;371
15;1510;370
16;704;381
17;302;380
18;201;391
19;201;360
20;302;382
21;201;370
22;201;376
23;201;380
24;201;378
25;201;381
26;201;386
27;201;398
28;201;379
29;201;383
30;201;378
31;201;389
32;201;393
33;201;399
34;201;386
35;201;384
36;201;395
37;201;375
38;201;374
39;201;381
0;2871329;60
1;2873847;59
2;2856424;76
3;2831650;60
4;2792675;86
5;2736882;116
6;2649768;114
7;2504344;169
8;2235953;230
9;1498658;325
10;46829;375
11;22156;371
12;12185;376
13;6143;379
14;2618;376
15;1309;370
16;704;368
17;402;382
18;201;368
19;201;367
20;201;390
21;201;378
22;201;369
23;201;375
24;201;373
25;201;374
26;201;372
27;201;383
