20.04.2023;13:57:44:000;13:59:24:0000;Indoor;50;sunny;N/A;N/A
0;2804861;51
1;2806372;70
2;2786129;76
3;2757729;72
4;2714424;88
5;2647855;134
6;2541908;130
7;2362545;171
8;1986294;250
9;713224;354
10;33234;360
11;17422;342
12;9466;349
13;4632;353
14;2417;359
15;1007;370
16;402;368
17;201;363
18;201;352
19;201;359
20;302;344
21;201;357
22;201;368
23;201;355
24;201;355
25;201;364
26;201;358
27;201;366
28;201;349
29;201;363
30;201;363
31;201;338
32;201;352
33;201;357
34;201;372
35;201;349
36;201;359
37;201;380
38;201;372
39;201;368
0;2804559;61
1;2806573;61
2;2786431;72
3;2758635;84
4;2715431;101
5;2649063;125
6;2543923;145
7;2363753;196
8;1988610;239
9;720576;368
10;33636;347
11;17724;362
12;9365;362
13;4834;363
14;2417;355
15;906;354
16;302;361
17;201;355
18;201;354
19;201;370
20;201;356
21;201;377
22;201;365
23;201;357
24;201;376
25;201;361
26;201;365
27;201;357
28;201;366
29;201;350
30;201;356
31;302;371
32;201;369
33;201;362
34;201;349
35;201;370
36;201;352
37;302;371
38;302;364
39;201;363
0;2804458;54
1;2806674;63
2;2786834;74
3;2758736;66
4;2714927;82
5;2648560;107
6;2543923;145
7;2364357;192
8;1989718;255
9;726518;371
10;33234;344
11;17422;352
12;9768;357
13;5136;359
14;2719;357
15;1107;371
16;503;369
17;302;360
18;201;348
19;201;348
20;302;343
21;201;353
22;201;360
23;201;352
24;201;346
25;201;355
26;201;378
27;201;357
28;201;361
29;201;370
30;201;366
31;302;346
32;201;359
33;302;356
34;302;352
35;201;369
36;201;367
37;302;374
38;201;352
39;201;375
0;2805163;53
1;2807782;64
2;2787438;84
3;2758937;91
4;2715834;90
5;2650070;104
6;2544527;165
7;2364357;194
8;1991229;250
9;733064;370
10;33435;346
11;17322;346
12;9567;346
13;4934;360
14;2114;365
15;1007;361
16;503;378
17;402;349
18;201;368
19;201;367
20;201;348
21;201;351
22;201;367
23;201;357
24;302;354
25;201;357
26;201;368
27;201;357
28;201;373
29;201;362
30;201;362
31;201;365
32;201;363
33;201;361
34;201;362
35;201;359
36;302;366
37;201;373
38;201;376
39;302;361
0;2805465;74
1;2807983;63
2;2788143;66
3;2759340;81
4;2716136;94
5;2649768;121
6;2545030;135
7;2365566;200
8;1993646;258
9;735179;361
10;33536;355
11;18228;366
12;9768;360
13;4834;341
14;2316;354
15;1107;356
16;604;358
17;302;356
18;201;359
19;302;351
20;201;359
21;201;360
22;201;363
23;201;364
24;201;365
25;201;351
26;201;376
27;201;370
28;201;355
29;201;351
30;302;357
31;201;343
32;201;375
33;201;373
34;201;368
35;302;357
36;201;360
37;302;359
38;302;349
39;302;351
0;2805969;70
