3001
5
3443561;3074
3443964;3083
3445273;3058
3446985;3094
3448496;3099
3450308;3111
3450208;3103
3447891;3095
3449100;3116
3452021;3110
3448395;3096
3452826;3147
3451819;3151
3455747;3139
3456955;3145
3457761;3157
3457761;3161
3456552;3159
3456552;3172
3458667;3168
3456452;3164
3457358;3158
3461991;3183
3462192;3197
3462494;3187
3463300;3217
3464005;3206
3466221;3218
3467630;3259
3466523;3226
3468335;3215
3469343;3246
3470048;3259
3467530;3244
3470450;3244
3471055;3263
3474076;3304
3473572;3285
3473069;3272
3473069;3309
3475184;3303
3477500;3314
3479917;3344
3476896;3314
3479111;3348
3483341;3389
3480521;3351
3483240;3395
3480320;3336
3482535;3368
3481629;3360
3486967;3457
3485255;3404
3490189;3547
3491096;3531
3485960;3382
3491599;3509
3488175;3467
3488679;3453
3489988;3508
3490995;3556
3490592;3511
3490391;3518
3490995;3538
3494117;3554
3494117;3564
3495326;3570
3496031;3561
3496333;3571
3493714;3563
3494016;3558
3492506;3519
3495124;3587
3496736;3576
3496836;3602
3495527;3589
3500865;3606
3496031;3595
3499354;3627
3498649;3587
3498145;3599
3498548;3599
3505195;3673
3496333;3593
3500663;3622
3507411;3646
3501872;3642
3505699;3645
3511238;3714
3510331;3716
3510231;3702
3511338;3702
3509828;3696
3509425;3687
3511338;3703
3513050;3725
3512950;3708
3517381;3772
3517784;3715
3518388;3767
3517280;3737
3516475;3753
3517582;3789
3520100;3769
3521409;3789
3522215;3801
3520805;3794
3521611;3787
3523323;3854
3523222;3822
3524129;3831
3526042;3902
3525941;3845
3521208;3788
3524531;3850
3520604;3818
3523121;3819
3530574;3893
3531682;3966
3535408;3975
3526948;3885
3525538;3861
3527653;3886
3530070;3920
3532286;3934
3533696;3982
3535811;4011
3535912;3989
3535207;3976
3535609;4005
3537624;4029
3539034;4022
3539336;4030
3540141;4023
3540141;4047
3539235;4025
3541954;4051
3541652;4068
3539235;4034
3539839;4054
3543263;4053
3543465;4086
3543868;4084
3545076;4091
3542558;4055
3547695;4115
3554946;4173
3551824;4168
3550917;4141
3550212;4122
3552529;4206
3551421;4147
3553032;4154
3553737;4151
3554644;4164
3556557;4197
3557262;4200
3557866;4230
3557766;4219
3556356;4210
3558571;4231
3557262;4233
3556859;4207
3556960;4228
3563405;4300
3561995;4289
3554946;4218
3558873;4243
3563405;4300
3564815;4282
3561895;4245
3562902;4265
3564312;4295
3562902;4287
3567333;4325
3565419;4299
3566729;4351
3564312;4292
3568038;4371
3568743;4394
3571059;4395
3572167;4428
3567534;4350
3572973;4468
3569246;4403
3571361;4399
3580526;4538
3573778;4437
3581332;4503
3586166;4554
3585360;4595
3574584;4371
3578109;4474
3584252;4547
3584756;4547
3584856;4567
3581734;4527
3588079;4583
3584756;4532
3582842;4505
3584655;4549
3584252;4552
3586871;4598
3586971;4585
3587374;4567
3588381;4609
3592309;4645
3589690;4633
3590496;4648
3595934;4695
3596639;4708
3595028;4690
3593316;4651
3592208;4670
3592712;4674
3591705;4675
3593115;4691
3593417;4677
3595532;4710
3596035;4707
3595834;4712
3596942;4743
3595733;4712
3598855;4761
3596740;4762
3599761;4771
3600567;4767
3598855;4739
3599661;4768
3599761;4756
3601272;4792
3598049;4750
3600366;4772
3601071;4808
3601071;4790
3603991;4823
3600366;4807
3601373;4806
3600769;4777
3602581;4813
3603588;4820
3602279;4818
3602883;4806
3606308;4849
3605300;4838
3604193;4826
3604293;4834
3606912;4853
3607415;4852
3608523;4855
3608221;4852
3606912;4839
3608725;4869
3610839;4877
3609530;4864
3611444;4876
3612451;4890
3611947;4880
3614465;4899
3615573;4896
3615371;4898
3617184;4916
3616983;4914
3615674;4907
3614969;4904
3616177;4901
3618191;4920
3619198;4934
3621313;4942
3625040;4988
3624637;4989
3625543;4979
3623025;4964
3625442;4984
3626449;5006
3625644;4991
3626752;5014
3628866;5042
3628766;5014
3627356;5026
